title,slug,date,path,url
「伝統文化を守る」×「世界の医療を繋げる」石田諭基さん・内芝弘尭さん【対談】,伝統文化を守る世界の医療を繋げる石田諭基さん内芝弘尭さん対談,2025-02-05,articles/data/markdown/2025/02/05/伝統文化を守る世界の医療を繋げる石田諭基さん内芝弘尭さん対談.md,https://note.com/japan_x_college/n/nbb336b2bde73
【若者の声を力にする】 v10-4 秀島ちえこ,若者の声を力にする_v10-4_秀島ちえこ,2025-02-14,articles/data/markdown/2025/02/14/若者の声を力にする_v10-4_秀島ちえこ.md,https://note.com/japan_x_college/n/nf2a7ef0a8fa3
【経済学と人類学で探る資本主義の未来】v5-2 田口響生さんインタビュー,経済学と人類学で探る資本主義の未来v5-2_田口響生さんインタビュー,2025-02-15,articles/data/markdown/2025/02/15/経済学と人類学で探る資本主義の未来v5-2_田口響生さんインタビュー.md,https://note.com/japan_x_college/n/n9687affcaa70
【クリスマスGalaでアーティストの夢を輝かせる】v13-2 武井佑太,クリスマスGalaでアーティストの夢を輝かせるv13-2_武井佑太,2025-03-16,articles/data/markdown/2025/03/16/クリスマスGalaでアーティストの夢を輝かせるv13-2_武井佑太.md,https://note.com/japan_x_college/n/n147c4f67d470
【日本の抹茶文化を世界へ】 v18-1 加藤憧さんインタビュー,日本の抹茶文化を世界へ_v18-1_加藤憧さんインタビュー,2025-03-31,articles/data/markdown/2025/03/31/日本の抹茶文化を世界へ_v18-1_加藤憧さんインタビュー.md,https://note.com/japan_x_college/n/n5cbe2b90b1c9
水を飲む　ラジオ体操　その次に「短歌を詠む」という選択肢ー介護士・「詠まない歌人」ぐみ沢エイ子による新しいケアの形 v19-1,水を飲む_ラジオ体操_その次に短歌を詠むという選択肢ー介護士詠まない歌人ぐみ沢エイ子による新しいケアの形_v19-1,2025-05-12,articles/data/markdown/2025/05/12/水を飲む_ラジオ体操_その次に短歌を詠むという選択肢ー介護士詠まない歌人ぐみ沢エイ子による新しいケアの形_v19-1.md,https://note.com/japan_x_college/n/n47647d3a4f8d
"「漁師として、人間として、自然と向き合い続ける」北浦さん松岡さん_v16,17-2",漁師として人間として自然と向き合い続ける北浦さん松岡さん_v1617-2,2025-05-22,articles/data/markdown/2025/05/22/漁師として人間として自然と向き合い続ける北浦さん松岡さん_v1617-2.md,https://note.com/japan_x_college/n/n91e307cfbec7
「小豆島から始める、新時代のまちづくり」v20-1 Ken2くんインタビュー,小豆島から始める新時代のまちづくりv20-1_Ken2くんインタビュー,2025-05-23,articles/data/markdown/2025/05/23/小豆島から始める新時代のまちづくりv20-1_Ken2くんインタビュー.md,https://note.com/japan_x_college/n/nd0f8ffc409c9
「身近な人と悩みを伝え合える社会を目指して」学生団体nayamii v21-1 堀祐大朗,身近な人と悩みを伝え合える社会を目指して学生団体nayamii_v21-1_堀祐大朗,2025-05-28,articles/data/markdown/2025/05/28/身近な人と悩みを伝え合える社会を目指して学生団体nayamii_v21-1_堀祐大朗.md,https://note.com/japan_x_college/n/nad4c6311b5ff
食卓が紡ぐ、私の小さな地球 – CoLoReへの招待状 v22-1 Aina,食卓が紡ぐ私の小さな地球__CoLoReへの招待状_v22-1_Aina,2025-06-01,articles/data/markdown/2025/06/01/食卓が紡ぐ私の小さな地球__CoLoReへの招待状_v22-1_Aina.md,https://note.com/japan_x_college/n/n349828b0e02a
